GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inf2050-projet-a21,default,Podiatre,7,94,6,12,3,17,7,7,1,4
inf2050-projet-a21,default,LectureDirigee,4,77,0,2,2,20,1,4,1,3
inf2050-projet-a21,default,Individu,9,29,0,2,5,8,4,4,4,3
inf2050-projet-a21,default,Architecte,27,175,10,24,4,30,11,13,1,6
inf2050-projet-a21,default,Colloque,4,77,0,2,2,20,1,4,1,3
inf2050-projet-a21,default,Conference,4,77,0,2,2,20,1,4,1,3
inf2050-projet-a21,default,Seminaire,4,77,0,2,2,20,1,4,1,3
inf2050-projet-a21,default,Cours,4,77,0,2,1,20,1,4,1,3
inf2050-projet-a21,default,ProjetSessException,4,0,0,0,1,0,1,0,1,0
inf2050-projet-a21,default,RedactionProfessionnel,4,72,0,2,1,19,1,4,1,3
inf2050-projet-a21,default,ProjetDeRecherche,4,72,0,2,2,19,1,4,1,3
inf2050-projet-a21,default,Psychologue,16,91,9,13,4,18,10,6,1,4
inf2050-projet-a21,default,Declaration,58,407,13,49,7,71,12,34,0,14
inf2050-projet-a21,default,Geologue,9,113,8,16,3,20,9,9,1,5
inf2050-projet-a21,default,Statistiques,145,531,0,14,39,91,8,47,8,40
inf2050-projet-a21,default,WriterJSON,70,160,2,0,18,30,4,4,3,4
inf2050-projet-a21,default,ActiviteNonReconnue,0,46,0,0,0,13,0,4,0,4
inf2050-projet-a21,default,Presentation,4,72,0,2,2,19,1,4,1,3
inf2050-projet-a21,default,ParserJSON,233,287,15,36,28,35,16,25,4,7
inf2050-projet-a21,default,Atelier,4,77,0,2,2,20,1,4,1,3
inf2050-projet-a21,default,GroupeDeDiscussion,4,72,0,2,2,19,1,4,1,3
inf2050-projet-a21,default,Activite,16,290,8,20,4,53,12,25,4,19
inf2050-projet-a21,default,Main,78,18,8,4,22,5,12,1,6,1
inf2050-projet-a21,default,Resultats,13,87,1,3,3,27,3,12,2,11
